Sun x,Sun y,Mercury x,Mercury y,Venus x,Venus y,Mars x,Mars y
-89.01,-74.69,-42.26,15.38,-60.46,58.39,111.87,-137.17
-74.69,-89.01,-42.26,-15.38,-74.21,39.46,126.03,-124.28
-58.10,-100.63,-22.49,-38.95,-82.21,17.47,138.71,-109.94
-39.74,-109.19,7.81,-44.29,-83.85,-5.86,149.78,-94.32
-20.18,-114.43,34.45,-28.91,-78.98,-28.75,159.09,-77.59
0.00,-116.20,44.98,0.00,-68.00,-49.40,166.54,-59.96
20.18,-114.43,34.45,28.91,-51.75,-66.23,172.04,-41.62
39.74,-109.19,7.81,44.29,-31.49,-77.93,175.53,-22.80
58.10,-100.63,-22.49,38.95,-8.79,-83.59,176.96,-3.71
74.69,-89.01,-42.26,15.38,14.60,-82.77,176.33,15.43
89.01,-74.69,-42.26,-15.38,36.85,-75.54,173.63,34.38
100.63,-58.10,-22.49,-38.95,56.24,-62.46,168.90,52.93
109.19,-39.74,7.81,-44.29,71.28,-44.54,162.20,70.86
114.43,-20.18,34.45,-28.91,80.79,-23.17,153.59,87.96
116.20,0.00,44.98,0.00,84.05,0.00,143.20,104.04
114.43,20.18,34.45,28.91,80.79,23.17,131.12,118.89
109.19,39.74,7.81,44.29,71.28,44.54,117.51,132.36
100.63,58.10,-22.49,38.95,56.24,62.46,102.53,144.28
89.01,74.69,-42.26,15.38,36.85,75.54,86.35,154.51
74.69,89.01,-42.26,-15.38,14.60,82.77,69.16,162.93
58.10,100.63,-22.49,-38.95,-8.79,83.59,51.16,169.45
39.74,109.19,7.81,-44.29,-31.49,77.93,32.56,173.98
20.18,114.43,34.45,-28.91,-51.75,66.23,13.58,176.48
0.00,116.20,44.98,0.00,-68.00,49.40,-5.56,176.91
-20.18,114.43,34.45,28.91,-78.98,28.75,-24.63,175.28
-39.74,109.19,7.81,44.29,-83.85,5.86,-43.42,171.59
-58.10,100.63,-22.49,38.95,-82.21,-17.47,-61.70,165.90
-74.69,89.01,-42.26,15.38,-74.21,-39.46,-79.25,158.27
-89.01,74.69,-42.26,-15.38,-60.46,-58.39,-95.88,148.78
-100.63,58.10,-22.49,-38.95,-42.03,-72.79,-111.39,137.55
-109.19,39.74,7.81,-44.29,-20.33,-81.55,-125.59,124.72
-114.43,20.18,34.45,-28.91,2.93,-84.00,-138.33,110.43
-116.20,0.00,44.98,0.00,25.97,-79.94,-149.45,94.84
-114.43,-20.18,34.45,28.91,47.00,-69.68,-158.81,78.15
-109.19,-39.74,7.81,44.29,64.39,-54.03,-166.33,60.54
-100.63,-58.10,-22.49,38.95,76.78,-34.19,-171.89,42.22
-89.01,-74.69,-42.26,15.38,83.23,-11.70,-175.45,23.41
-74.69,-89.01,-42.26,-15.38,83.23,11.70,-176.95,4.32
-58.10,-100.63,-22.49,-38.95,76.78,34.19,-176.38,-14.81
-39.74,-109.19,7.81,-44.29,64.39,54.03,-173.75,-33.77
-20.18,-114.43,34.45,-28.91,47.00,69.68,-169.08,-52.34
0.00,-116.20,44.98,0.00,25.97,79.94,-162.44,-70.30
20.18,-114.43,34.45,28.91,2.93,84.00,-153.90,-87.43
39.74,-109.19,7.81,44.29,-20.33,81.55,-143.56,-103.54
58.10,-100.63,-22.49,38.95,-42.03,72.79,-131.54,-118.44
74.69,-89.01,-42.26,15.38,-60.46,58.39,-117.98,-131.95
89.01,-74.69,-42.26,-15.38,-74.21,39.46,-103.04,-143.92
100.63,-58.10,-22.49,-38.95,-82.21,17.47,-86.89,-154.20
109.19,-39.74,7.81,-44.29,-83.85,-5.86,-69.73,-162.69
114.43,-20.18,34.45,-28.91,-78.98,-28.75,-51.75,-169.27
